Ticker,Price,Change_%,Risk_Score,Volatility_%,SMA_20,SMA_50,RSI,MACD,BB_Width_%,VWAP,Volume,Avg_Vol_20D,Vol_Ratio,52W_High,52W_Low,Signals,Signal_List,Scan_Time
LMT,467.94,0.22,34,19.1,456.27,474.89,51.1,2.9787,8.4,474.36,"1,488,219","1,302,745",1.14x,512.11,404.07,4,"RSI強勢, MACD加速, 接近52週高, 布林帶強勢",2025-12-10 21:46
MSFT,478.56,-2.74,34,19.6,488.33,505.45,45.4,0.9156,9.4,505.36,"34,464,624","25,590,526",1.35x,553.5,342.95,3,"RSI反彈, 從低點反彈, 低波動放量",2025-12-10 21:45
EOG,111.43,1.86,37,19.5,108.99,107.95,63.4,0.3832,7.6,109.46,"4,705,462","3,451,638",1.36x,134.2,99.8,5,"均線多頭, RSI強勢, 布林帶強勢, 站上VWAP, 低波動放量",2025-12-10 21:46
ICE,160.38,1.5,39,20.0,155.28,155.08,65.4,0.7153,7.0,157.77,"2,774,969","3,519,868",0.79x,188.82,141.12,7,"黃金交叉, 均線多頭, RSI強勢, MACD加速, 接近20日高, 布林帶強勢, 站上VWAP",2025-12-10 21:47
ADSK,300.1,-0.22,39,20.1,298.89,303.81,60.8,0.7577,9.0,307.79,"1,792,555","1,658,612",1.08x,329.09,232.67,4,"RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢",2025-12-10 21:46
CVX,151.41,1.97,39,17.4,151.21,151.82,49.2,-0.0489,5.2,152.75,"7,964,970","9,083,993",0.88x,163.27,127.59,3,"RSI反彈, 接近52週高, 布林帶強勢",2025-12-10 21:46
PEP,149.7,3.5,41,19.9,145.75,145.58,62.8,0.1782,4.5,144.24,"18,360,375","7,641,743",2.40x,155.29,123.93,10,"均線多頭, RSI強勢, MACD翻正, 成交量激增, 接近20日高, 接近52週高, 從低點反彈, 突破布林上軌, 站上VWAP, 低波動放量",2025-12-10 21:46
XOM,119.54,1.09,41,17.9,117.04,114.64,57.7,0.104,4.7,114.36,"13,331,061","14,982,698",0.89x,120.47,95.18,8,"均線多頭, RSI強勢, MACD翻正, 接近20日高, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 21:46
MCD,310.53,-0.08,41,16.3,306.39,302.78,61.6,0.4823,4.6,302.38,"2,315,893","3,191,279",0.73x,320.72,270.23,5,"均線多頭, RSI強勢, 接近52週高, 布林帶強勢, 站上VWAP",2025-12-10 21:46
ADBE,343.13,-0.35,41,28.5,327.8,336.42,68.4,3.4528,12.0,342.91,"5,769,879","3,907,233",1.48x,552.3,311.59,4,"RSI強勢, MACD加速, 布林帶強勢, 站上VWAP",2025-12-10 21:46
NOW,853.56,-0.16,41,24.2,831.96,877.81,65.6,7.5838,9.3,891.12,"1,034,020","1,387,506",0.75x,1198.09,678.66,4,"RSI強勢, MACD加速, 從低點反彈, 布林帶強勢",2025-12-10 21:46
INTU,662.43,1.02,41,23.7,650.47,658.11,54.0,2.7034,7.5,663.2,"1,594,693","1,955,634",0.82x,812.22,530.03,4,"RSI強勢, MACD加速, 從低點反彈, 布林帶強勢",2025-12-10 21:46
UNH,328.37,1.47,41,26.6,323.18,338.79,66.7,1.6421,10.2,340.73,"5,870,649","7,225,237",0.81x,594.32,231.57,4,"RSI強勢, MACD加速, 從低點反彈, 布林帶強勢",2025-12-10 21:46
LOW,246.2,1.45,41,21.7,237.28,238.45,68.4,1.3508,14.8,242.42,"2,589,569","3,807,713",0.68x,273.63,203.22,4,"RSI強勢, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 21:46
DIS,108.83,1.69,41,23.7,105.92,109.46,61.1,0.6427,11.6,110.02,"7,792,506","13,104,720",0.59x,124.69,79.76,4,"RSI強勢, MACD加速, 從低點反彈, 布林帶強勢",2025-12-10 21:46
HD,351.13,1.7,41,22.2,349.69,368.48,63.3,1.6198,12.1,374.16,"4,081,882","5,145,334",0.79x,424.01,320.39,3,"RSI強勢, MACD加速, 布林帶強勢",2025-12-10 21:46
PFE,25.78,1.78,42,29.9,25.43,24.96,60.1,0.0052,6.5,24.72,"30,864,124","58,555,551",0.53x,27.21,19.83,7,"均線多頭, RSI強勢, MACD加速, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 21:46
CVS,78.97,0.93,42,23.2,77.94,78.58,57.3,0.0134,7.7,77.74,"6,495,364","7,377,768",0.88x,85.15,41.77,6,"RSI強勢, MACD翻正, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 21:46
MCO,479.99,-1.31,42,23.0,483.63,482.59,57.3,0.0555,6.4,483.24,"2,099,695","777,259",2.70x,527.9,376.55,4,"RSI強勢, 成交量激增, 接近52週高, 從低點反彈",2025-12-10 21:47
CMCSA,27.58,2.95,42,23.9,27.09,28.31,56.8,0.1485,6.7,28.78,"34,490,095","32,629,804",1.06x,38.9,25.75,3,"RSI強勢, MACD加速, 布林帶強勢",2025-12-10 21:46
KO,70.21,0.17,43,16.2,71.03,69.18,46.7,-0.308,4.9,68.56,"11,949,411","16,243,070",0.74x,72.91,58.88,3,"RSI反彈, 接近52週高, 站上VWAP",2025-12-10 21:46
SCHW,95.81,1.75,44,19.1,93.12,93.55,63.8,0.3869,8.3,93.46,"5,765,844","8,665,247",0.67x,99.14,65.3,6,"RSI強勢, MACD加速, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 21:46
CME,266.33,-1.4,44,16.3,276.21,271.24,39.1,-1.5621,7.1,269.84,"2,168,167","2,059,393",1.05x,288.09,221.44,3,"RSI反彈, 接近52週高, 從低點反彈",2025-12-10 21:47
WDAY,222.75,0.22,46,35.3,221.59,229.75,49.0,0.7519,10.5,230.14,"2,181,566","3,384,593",0.64x,283.68,205.33,3,"RSI反彈, MACD加速, 布林帶強勢",2025-12-10 21:46
