Ticker,Price,Change_%,Risk_Score,Volatility_%,SMA_20,SMA_50,RSI,MACD,BB_Width_%,VWAP,Volume,Avg_Vol_20D,Vol_Ratio,52W_High,52W_Low,Signals,Signal_List,Scan_Time
MSFT,483.98,1.65,34,19.2,481.62,500.42,44.4,0.6743,5.2,502.59,"26,736,126","24,910,456",1.07x,553.5,342.95,4,"RSI反彈, MACD加速, 從低點反彈, 布林帶強勢",2025-12-18 21:32
ROP,450.51,-0.38,36,20.8,445.02,460.32,56.4,1.9276,2.8,468.11,"2,100,142","1,068,942",1.96x,592.47,435.42,5,"RSI強勢, MACD加速, 成交量激增, 接近20日高, 布林帶強勢",2025-12-18 21:33
LMT,470.14,-0.98,36,19.8,460.7,471.73,60.5,2.9206,11.8,474.85,"1,151,168","1,405,278",0.82x,512.11,404.07,3,"RSI強勢, 接近52週高, 布林帶強勢",2025-12-18 21:33
PG,145.52,-1.55,37,17.5,145.24,147.25,44.3,0.4712,9.5,147.84,"9,005,404","11,144,595",0.81x,176.43,138.14,3,"RSI反彈, MACD加速, 布林帶強勢",2025-12-18 21:33
PAYX,114.24,-2.11,39,20.5,112.66,116.13,59.5,0.7045,7.5,118.37,"6,387,170","3,695,888",1.73x,158.49,108.0,3,"RSI強勢, 成交量激增, 布林帶強勢",2025-12-18 21:33
SPGI,506.71,-0.76,40,19.8,496.54,491.19,57.2,1.2252,4.6,490.76,"1,246,517","1,568,980",0.79x,576.91,424.77,5,"均線多頭, RSI強勢, MACD加速, 布林帶強勢, 站上VWAP",2025-12-18 21:33
MCD,319.65,0.3,41,16.8,310.15,305.19,61.6,0.9742,7.0,303.87,"2,480,678","3,569,138",0.70x,321.76,270.23,7,"均線多頭, RSI強勢, MACD加速, 接近20日高, 接近52週高, 布林帶強勢, 站上VWAP",2025-12-18 21:33
UNH,328.14,-1.05,41,27.0,327.67,336.26,50.4,1.1299,10.1,339.86,"6,223,588","6,650,504",0.94x,594.32,231.57,3,"RSI強勢, 從低點反彈, 布林帶強勢",2025-12-18 21:32
ICE,160.07,-0.49,42,20.3,157.06,154.61,61.2,0.4543,7.8,156.42,"1,881,874","3,593,898",0.52x,188.26,140.7,4,"均線多頭, RSI強勢, 布林帶強勢, 站上VWAP",2025-12-18 21:33
CVS,77.79,-0.12,42,23.7,78.12,78.88,42.4,0.0415,8.0,78.23,"4,932,760","7,551,808",0.65x,85.15,41.77,3,"RSI反彈, 接近52週高, 從低點反彈",2025-12-18 21:33
MA,566.21,0.13,43,19.4,549.92,554.02,59.7,3.2333,9.2,558.41,"1,612,996","2,876,924",0.56x,600.98,463.61,5,"RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-18 21:32
