Ticker,Price,Change_%,Risk_Score,Volatility_%,SMA_20,SMA_50,RSI,MACD,BB_Width_%,VWAP,Volume,Avg_Vol_20D,Vol_Ratio,52W_High,52W_Low,Signals,Signal_List,Scan_Time
MSFT,492.02,0.2,34,18.9,489.78,506.21,49.4,1.4339,9.8,505.89,"14,688,300","24,765,905",0.59x,553.5,342.95,4,"RSI反彈, MACD加速, 從低點反彈, 布林帶強勢",2025-12-10 05:08
LMT,466.89,0.32,34,19.3,455.56,475.44,47.1,2.3915,8.1,474.3,"1,102,300","1,294,440",0.85x,512.11,404.07,4,"RSI反彈, MACD加速, 接近52週高, 布林帶強勢",2025-12-10 05:09
PEP,144.64,-0.68,36,18.8,145.45,145.37,39.1,-0.0929,3.9,144.02,"10,034,400","7,107,865",1.41x,155.29,123.93,4,"RSI反彈, 接近52週高, 站上VWAP, 低波動放量",2025-12-10 05:09
PAYX,112.74,0.26,36,20.6,111.27,117.41,58.8,0.7156,4.3,120.04,"2,835,900","3,011,940",0.94x,158.49,108.0,3,"RSI強勢, MACD加速, 布林帶強勢",2025-12-10 05:09
EOG,109.39,-1.11,37,19.1,108.88,107.94,49.5,0.3859,7.3,109.52,"3,083,300","3,499,705",0.88x,134.2,99.8,3,"均線多頭, RSI反彈, 布林帶強勢",2025-12-10 05:09
MCD,310.79,0.32,38,16.4,306.11,302.61,59.3,0.5085,4.5,302.36,"2,355,100","3,213,275",0.73x,320.72,270.23,7,"均線多頭, RSI強勢, MACD加速, 接近20日高, 接近52週高, 布林帶強勢, 站上VWAP",2025-12-10 05:09
MCO,486.37,-0.16,39,23.5,484.23,482.5,66.7,0.7422,6.5,483.64,"619,000","701,035",0.88x,527.9,376.55,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 05:09
ADSK,300.75,-0.21,39,20.1,298.98,304.16,60.2,1.1245,9.0,308.16,"1,393,600","1,611,765",0.86x,329.09,232.67,4,"RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢",2025-12-10 05:09
ICE,158.01,0.62,39,20.3,154.86,155.24,62.9,0.63,6.5,157.88,"3,558,500","3,523,850",1.01x,188.82,141.12,4,"RSI強勢, 接近20日高, 布林帶強勢, 站上VWAP",2025-12-10 05:09
COP,93.43,0.59,41,25.0,89.64,89.04,63.6,0.6586,10.1,89.99,"6,176,700","6,748,205",0.92x,103.48,77.84,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 05:09
VRTX,437.01,-1.14,41,25.6,435.41,423.17,50.7,0.631,10.5,413.47,"989,500","1,395,695",0.71x,519.68,362.5,5,"均線多頭, RSI強勢, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 05:09
ADBE,344.32,1.53,41,28.4,327.3,336.61,63.5,3.424,11.3,343.05,"4,261,300","3,759,780",1.13x,552.83,311.59,4,"RSI強勢, MACD加速, 布林帶強勢, 站上VWAP",2025-12-10 05:08
NOW,854.91,0.16,41,24.5,832.31,879.15,65.5,7.5211,9.6,892.24,"978,900","1,387,575",0.71x,1198.09,678.66,4,"RSI強勢, MACD加速, 從低點反彈, 布林帶強勢",2025-12-10 05:08
INTU,655.75,-0.07,41,23.6,650.06,658.49,52.1,2.4911,7.3,663.12,"1,386,700","1,933,405",0.72x,812.22,530.03,3,"RSI強勢, 從低點反彈, 布林帶強勢",2025-12-10 05:08
UNH,323.6,-0.01,41,26.8,323.02,339.09,59.5,1.6059,10.1,340.9,"4,623,700","7,289,360",0.63x,594.32,231.57,3,"RSI強勢, 從低點反彈, 布林帶強勢",2025-12-10 05:09
JPM,300.51,-4.66,42,20.7,307.3,306.44,51.0,0.2419,9.3,307.06,"18,004,600","8,663,795",2.08x,322.25,200.22,4,"RSI強勢, 成交量激增, 接近52週高, 從低點反彈",2025-12-10 05:09
PFE,25.33,-1.71,42,29.8,25.41,24.95,48.7,0.0011,6.3,24.71,"43,439,000","63,993,795",0.68x,27.21,19.83,4,"RSI反彈, 接近52週高, 從低點反彈, 站上VWAP",2025-12-10 05:09
XOM,118.25,1.96,43,17.8,117.0,114.48,47.3,-0.0522,4.5,114.23,"23,787,200","15,119,820",1.57x,120.47,95.18,8,"均線多頭, RSI反彈, 成交量激增, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP, 低波動放量",2025-12-10 05:09
BLK,1071.31,0.87,43,23.2,1043.12,1093.47,68.3,8.5238,11.1,1101.52,"445,300","639,895",0.70x,1214.03,762.34,4,"RSI強勢, MACD加速, 從低點反彈, 布林帶強勢",2025-12-10 05:09
KO,70.09,-0.23,43,16.2,71.07,69.09,44.8,-0.3159,4.8,68.51,"13,007,900","16,453,475",0.79x,72.91,58.88,3,"RSI反彈, 接近52週高, 站上VWAP",2025-12-10 05:09
CVS,78.24,2.23,44,23.2,77.98,78.5,50.9,-0.1362,7.9,77.6,"12,589,200","7,348,935",1.71x,85.15,41.77,6,"RSI強勢, 成交量激增, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 05:09
SCHW,94.16,-0.13,44,19.2,93.12,93.54,59.3,0.2909,8.3,93.42,"6,479,300","8,659,050",0.75x,99.14,65.3,5,"RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 05:09
DIS,107.02,-0.57,44,23.6,106.22,109.57,52.0,0.4902,13.6,110.11,"8,546,900","13,200,635",0.65x,124.69,79.76,4,"RSI強勢, MACD加速, 從低點反彈, 布林帶強勢",2025-12-10 05:09
CME,270.12,-0.11,44,16.2,276.83,271.31,35.4,-1.3345,6.3,269.74,"1,255,700","2,012,770",0.62x,288.09,221.44,4,"RSI反彈, 接近52週高, 從低點反彈, 站上VWAP",2025-12-10 05:09
PANW,195.0,-0.18,46,28.2,195.59,206.0,43.3,1.0789,19.6,203.4,"3,192,400","6,415,450",0.50x,223.61,144.15,3,"RSI反彈, MACD加速, 從低點反彈",2025-12-10 05:08
CHWY,34.84,0.64,47,34.7,33.83,35.36,51.9,0.1989,8.3,35.76,"13,705,800","6,657,515",2.06x,48.62,29.83,5,"RSI強勢, MACD加速, 成交量激增, 接近20日高, 布林帶強勢",2025-12-10 05:09
