Ticker,Price,Change_%,Risk_Score,Volatility_%,SMA_20,SMA_50,RSI,MACD,BB_Width_%,VWAP,Volume,Avg_Vol_20D,Vol_Ratio,52W_High,52W_Low,Signals,Signal_List,Scan_Time
LMT,480.25,1.13,36,19.4,458.73,474.17,65.8,4.3161,10.0,474.58,"1,017,325","1,371,831",0.74x,512.11,404.07,6,"RSI強勢, MACD加速, 接近20日高, 接近52週高, 布林帶強勢, 站上VWAP",2025-12-12 21:35
ROP,445.86,0.0,36,20.7,444.64,465.27,53.3,1.6244,2.2,473.05,"1,713,187","876,034",1.96x,592.47,435.42,4,"RSI強勢, MACD加速, 成交量激增, 布林帶強勢",2025-12-12 21:36
ADSK,297.64,-1.09,37,19.9,298.88,303.05,59.1,0.1668,9.0,307.12,"1,325,811","1,685,950",0.79x,329.09,232.67,3,"RSI強勢, 接近52週高, 從低點反彈",2025-12-12 21:36
PAYX,115.45,0.72,39,20.1,111.69,116.85,64.2,0.8731,6.0,119.43,"4,532,356","3,200,062",1.42x,158.49,108.0,4,"RSI強勢, MACD加速, 接近20日高, 突破布林上軌",2025-12-12 21:36
MCD,316.72,2.26,41,16.6,307.17,303.37,60.8,0.6884,5.5,302.75,"2,874,926","3,410,981",0.84x,320.72,270.23,7,"均線多頭, RSI強勢, MACD加速, 接近20日高, 接近52週高, 突破布林上軌, 站上VWAP",2025-12-12 21:35
UNH,341.84,1.52,41,27.3,323.75,338.42,68.0,2.6707,11.3,340.1,"7,684,136","7,077,496",1.09x,594.32,231.57,6,"RSI強勢, MACD加速, 接近20日高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-12 21:35
SPGI,501.03,0.7,41,23.5,493.71,489.21,57.8,0.3517,3.3,492.04,"1,178,723","1,515,021",0.78x,576.91,424.77,6,"均線多頭, RSI強勢, MACD翻正, 接近20日高, 布林帶強勢, 站上VWAP",2025-12-12 21:36
HD,359.65,0.61,41,22.7,348.82,367.08,64.0,2.3909,10.7,371.49,"2,664,981","5,400,254",0.49x,424.01,320.39,3,"RSI強勢, MACD加速, 布林帶強勢",2025-12-12 21:35
PFE,25.85,0.19,42,28.8,25.43,24.93,61.9,0.0039,6.5,24.76,"50,796,624","52,557,901",0.97x,27.21,19.83,7,"均線多頭, RSI強勢, MACD加速, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-12 21:35
GE,299.81,3.95,42,24.8,292.44,299.55,60.6,0.4497,8.4,298.29,"7,144,614","4,630,690",1.54x,316.67,158.62,7,"RSI強勢, MACD翻正, 成交量激增, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-12 21:35
CVS,79.42,-1.74,42,23.5,77.97,78.73,54.0,0.2557,8.0,77.96,"6,279,294","7,834,389",0.80x,85.15,41.77,6,"RSI強勢, MACD加速, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-12 21:35
HON,193.66,-0.1,42,22.2,191.96,194.4,58.8,0.3748,5.2,195.54,"2,833,729","3,823,636",0.74x,225.29,166.32,3,"RSI強勢, MACD加速, 布林帶強勢",2025-12-12 21:35
JNJ,211.58,0.75,44,15.3,203.67,194.81,68.4,0.1078,8.1,191.04,"4,980,075","9,671,958",0.51x,212.27,136.5,8,"均線多頭, RSI強勢, MACD翻正, 接近20日高, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-12 21:35
PEP,150.65,1.08,44,19.5,146.41,145.92,67.1,0.4321,5.1,144.46,"6,747,863","7,757,468",0.87x,155.29,123.93,8,"均線多頭, RSI強勢, MACD加速, 接近20日高, 接近52週高, 從低點反彈, 突破布林上軌, 站上VWAP",2025-12-12 21:35
XOM,118.82,-0.6,44,17.9,117.21,114.98,56.0,0.1839,5.2,114.62,"13,929,402","15,189,825",0.92x,120.47,95.18,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-12 21:35
MCO,486.6,0.22,44,23.0,483.25,482.83,56.4,-0.1085,6.2,482.55,"564,384","769,249",0.73x,527.9,376.55,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-12 21:36
