Ticker,Price,Change_%,Risk_Score,Volatility_%,SMA_20,SMA_50,RSI,MACD,BB_Width_%,VWAP,Volume,Avg_Vol_20D,Vol_Ratio,52W_High,52W_Low,Signals,Signal_List,Scan_Time
MSFT,485.92,0.4,34,19.2,482.0,499.71,49.4,1.1448,5.2,501.44,"58,921,425","26,608,271",2.21x,553.5,342.95,6,"RSI反彈, MACD加速, 成交量激增, 從低點反彈, 布林帶強勢, 低波動放量",2025-12-19 21:36
ADP,257.94,-1.16,34,19.7,257.94,262.38,55.3,0.8672,7.5,266.66,"5,429,292","2,654,759",2.05x,324.5,245.59,3,"RSI強勢, 成交量激增, 低波動放量",2025-12-19 21:37
MCD,315.84,-1.19,41,17.0,310.82,305.67,65.7,0.6894,6.8,304.23,"3,125,238","3,557,871",0.88x,321.79,270.23,5,"均線多頭, RSI強勢, 接近52週高, 布林帶強勢, 站上VWAP",2025-12-19 21:37
PANW,186.88,0.54,42,28.6,189.44,202.42,48.8,0.0032,9.8,201.06,"18,389,774","6,762,673",2.72x,223.61,144.15,4,"RSI反彈, MACD翻正, 成交量激增, 從低點反彈",2025-12-19 21:36
ICE,160.3,0.14,42,20.2,157.99,154.72,60.6,0.2209,7.2,156.29,"2,410,946","3,450,492",0.70x,188.26,140.7,4,"均線多頭, RSI強勢, 布林帶強勢, 站上VWAP",2025-12-19 21:37
MA,572.23,1.06,43,19.5,552.14,554.17,67.7,3.2596,9.1,557.62,"2,433,971","2,868,908",0.85x,600.98,463.61,7,"RSI強勢, MACD加速, 接近20日高, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-19 21:36
SPGI,512.6,1.16,43,19.9,497.68,491.71,65.1,1.5836,5.2,490.48,"1,301,621","1,587,796",0.82x,576.91,424.77,7,"均線多頭, RSI強勢, MACD加速, 接近20日高, 從低點反彈, 突破布林上軌, 站上VWAP",2025-12-19 21:37
BLK,1060.17,-0.45,43,23.2,1052.94,1082.0,56.1,2.7705,11.0,1096.0,"714,845","665,687",1.07x,1214.03,762.34,3,"RSI強勢, 從低點反彈, 布林帶強勢",2025-12-19 21:36
PEP,148.16,-0.81,44,19.5,147.44,146.92,50.3,0.1509,6.2,145.39,"13,224,084","8,074,729",1.64x,155.29,123.93,7,"均線多頭, RSI強勢, 成交量激增, 接近52週高, 布林帶強勢, 站上VWAP, 低波動放量",2025-12-19 21:37
AAPL,273.67,0.54,44,17.9,277.51,269.41,30.3,-1.3341,5.7,266.27,"111,198,501","46,869,925",2.37x,288.62,168.63,6,"RSI反彈, 成交量激增, 接近52週高, 從低點反彈, 站上VWAP, 低波動放量",2025-12-19 21:36
ABBV,226.82,1.8,44,26.6,226.56,226.58,52.7,-0.1687,6.1,227.01,"7,878,540","5,687,877",1.39x,243.06,160.33,4,"RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢",2025-12-19 21:36
ADSK,300.08,0.28,44,20.6,299.28,301.35,45.3,-0.1605,8.5,304.66,"2,228,466","1,835,968",1.21x,329.09,232.67,4,"RSI反彈, 接近52週高, 從低點反彈, 布林帶強勢",2025-12-19 21:37
CME,269.09,1.15,44,17.8,272.63,270.91,33.9,-0.6444,5.9,269.81,"2,961,237","1,987,621",1.49x,286.76,220.42,4,"RSI反彈, 接近52週高, 從低點反彈, 低波動放量",2025-12-19 21:37
CVS,77.72,-0.09,44,23.7,78.2,78.91,45.6,-0.0071,7.6,78.33,"7,138,803","7,721,175",0.92x,85.15,41.77,3,"RSI反彈, 接近52週高, 從低點反彈",2025-12-19 21:37
GE,307.21,1.83,46,25.2,292.86,299.58,65.4,2.1452,9.1,299.01,"4,138,065","5,137,333",0.81x,316.67,158.93,7,"RSI強勢, MACD加速, 接近20日高, 接近52週高, 從低點反彈, 突破布林上軌, 站上VWAP",2025-12-19 21:37
JNJ,206.37,-0.93,46,15.7,206.36,196.97,51.7,-0.379,7.0,194.11,"8,441,782","8,917,204",0.95x,215.19,136.5,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-19 21:36
UNP,234.23,-0.08,46,16.7,233.1,225.64,57.7,-0.225,7.8,226.96,"2,816,627","3,221,796",0.87x,250.85,200.99,5,"均線多頭, RSI強勢, 接近52週高, 布林帶強勢, 站上VWAP",2025-12-19 21:37
XOM,116.69,0.13,46,18.7,116.85,115.37,50.2,-0.2239,5.1,115.01,"17,254,677","15,427,928",1.12x,120.47,95.18,4,"RSI強勢, 接近52週高, 從低點反彈, 站上VWAP",2025-12-19 21:37
COP,91.94,-0.31,46,28.6,91.76,89.17,53.6,-0.1619,14.0,90.35,"6,048,317","7,288,965",0.83x,103.48,77.84,4,"均線多頭, RSI強勢, 布林帶強勢, 站上VWAP",2025-12-19 21:37
KO,70.06,-0.43,46,16.8,70.91,69.79,36.9,-0.1458,5.6,69.1,"14,007,110","18,365,410",0.76x,72.91,58.88,3,"RSI反彈, 接近52週高, 站上VWAP",2025-12-19 21:37
MCO,503.08,1.08,48,20.1,488.4,483.84,60.2,1.4806,6.0,482.73,"627,602","841,735",0.75x,527.9,376.55,8,"均線多頭, RSI強勢, MACD加速, 接近20日高, 接近52週高, 從低點反彈, 突破布林上軌, 站上VWAP",2025-12-19 21:37
INTU,671.3,0.36,48,23.6,656.28,658.25,64.7,2.0749,8.9,663.5,"4,117,531","2,163,576",1.90x,812.22,530.03,6,"RSI強勢, MACD加速, 成交量激增, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-19 21:36
META,658.77,-0.85,48,33.8,646.4,660.71,57.5,3.1344,11.3,664.7,"47,919,952","18,336,517",2.61x,795.06,478.72,4,"RSI強勢, 成交量激增, 從低點反彈, 布林帶強勢",2025-12-19 21:36
DIS,111.24,-0.56,48,24.2,106.86,108.66,67.2,0.8063,13.2,109.01,"12,814,172","11,708,553",1.09x,123.85,79.22,4,"RSI強勢, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-19 21:37
JPM,317.21,1.35,49,22.1,311.11,307.69,57.4,0.4127,8.7,308.15,"9,019,973","9,745,003",0.93x,322.88,200.22,7,"均線多頭, RSI強勢, MACD加速, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-19 21:36
GOOG,308.61,1.6,49,29.8,313.86,288.03,44.6,-3.1843,9.4,284.0,"43,196,276","28,210,668",1.53x,328.46,142.27,5,"RSI反彈, 成交量激增, 接近52週高, 從低點反彈, 站上VWAP",2025-12-19 21:36
PFE,25.19,0.6,49,30.2,25.55,24.9,49.1,-0.1067,5.9,24.9,"84,274,031","52,578,171",1.60x,27.21,19.83,5,"RSI反彈, 成交量激增, 接近52週高, 從低點反彈, 站上VWAP",2025-12-19 21:36
SBUX,88.33,-1.22,49,29.8,85.44,84.17,60.6,0.3535,7.9,83.86,"12,312,544","9,581,307",1.29x,115.04,73.95,5,"均線多頭, RSI強勢, MACD加速, 布林帶強勢, 站上VWAP",2025-12-19 21:37
IBM,300.98,0.18,49,28.8,305.64,299.81,41.6,-1.2512,5.3,294.31,"3,998,309","3,516,060",1.14x,324.9,209.2,4,"RSI反彈, 接近52週高, 從低點反彈, 站上VWAP",2025-12-19 21:37
AMZN,227.35,0.26,49,33.6,228.09,229.27,39.3,-0.3678,7.2,228.54,"68,757,005","41,857,630",1.64x,258.6,161.38,3,"RSI反彈, 成交量激增, 從低點反彈",2025-12-19 21:36
NVDA,180.99,3.93,49,37.1,179.68,185.64,51.3,-0.189,8.4,185.48,"264,623,530","197,586,011",1.34x,212.18,86.6,3,"RSI強勢, 從低點反彈, 布林帶強勢",2025-12-19 21:36
MMM,161.96,0.12,49,25.4,167.55,164.58,32.3,-1.0553,8.7,162.53,"1,936,399","2,797,849",0.69x,174.69,120.31,3,"RSI反彈, 接近52週高, 從低點反彈",2025-12-19 21:37
GILD,124.29,2.32,51,24.5,123.26,122.08,46.5,-0.2055,8.5,120.1,"23,959,514","7,942,400",3.02x,128.7,86.73,7,"均線多頭, RSI反彈, 成交量激增, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-19 21:36
VRTX,456.2,1.97,51,26.0,441.84,429.41,60.5,0.1841,11.7,421.59,"3,807,017","1,489,365",2.56x,519.68,362.5,7,"均線多頭, RSI強勢, MACD翻正, 成交量激增, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-19 21:36
CSCO,78.42,1.91,51,22.5,77.55,74.42,60.1,-0.3266,6.6,73.63,"82,943,101","20,905,555",3.97x,80.82,51.49,7,"均線多頭, RSI強勢, 成交量激增, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-19 21:37
QCOM,175.25,0.61,51,40.0,172.56,170.96,63.6,-0.0332,14.1,172.54,"23,381,528","8,928,126",2.62x,204.9,118.79,6,"均線多頭, RSI強勢, 成交量激增, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-19 21:36
TXN,176.29,0.06,51,29.8,174.52,168.81,62.1,-0.3368,17.5,170.31,"15,549,046","7,607,362",2.04x,218.15,136.55,6,"均線多頭, RSI強勢, 成交量激增, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-19 21:36
AXP,376.51,0.26,51,26.6,369.58,359.18,65.4,0.2542,10.1,353.39,"3,645,175","2,493,418",1.46x,387.49,219.32,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-19 21:36
