Ticker,Price,Change_%,SMA_20,SMA_50,RSI,MACD,Volume,Volume_Avg_20,52W_High,52W_Low,Signal_Count,Signals,Scan_Time
AAPL,277.89,-0.32,275.24,265.89,66.46,4.2655,38140000,45409255,288.62,168.63,4,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound",2025-12-09 05:04:27
GOOGL,313.72,-2.29,302.78,275.86,69.7,16.4478,33835800,45277740,328.62,140.14,4,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound",2025-12-09 05:04:27
AMZN,226.89,-1.15,231.72,228.53,42.99,-6.8399,34893100,42980885,258.6,161.38,4,"Golden_Cross, RSI_Normal, RSI_Bounce, From_Low_Rebound",2025-12-09 05:04:28
JNJ,201.62,-0.15,200.62,192.94,60.75,7.1812,7775400,9527730,207.81,136.5,4,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound",2025-12-09 05:04:29
JPM,315.21,0.05,308.12,306.71,68.63,-1.1201,7414600,8053140,322.25,200.22,4,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound",2025-12-09 05:04:30
CSCO,78.86,1.14,76.45,72.7,55.35,1.3583,17452900,24331280,80.06,51.49,4,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound",2025-12-09 05:04:35
IBM,309.18,0.4,303.37,296.02,63.19,-0.0717,3629300,3952840,324.9,209.2,4,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound",2025-12-09 05:04:35
ASML,1119.69,1.84,1044.77,1029.64,63.85,14.9784,1115900,1476450,1141.72,574.25,4,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound",2025-12-09 05:04:37
MSFT,491.02,1.63,490.44,506.65,41.22,-11.9777,21904800,25333510,553.5,342.95,3,"RSI_Normal, RSI_Bounce, From_Low_Rebound",2025-12-09 05:04:27
WMT,113.56,-1.35,107.21,105.15,71.66,4.4514,22695100,22573990,116.27,79.43,3,"Golden_Cross, Near_52W_High, From_Low_Rebound",2025-12-09 05:04:30
PG,138.34,-3.56,146.78,148.51,33.3,-0.414,17486200,10146170,176.43,138.14,3,"RSI_Normal, RSI_Bounce, Volume_Surge",2025-12-09 05:04:31
MCD,309.79,-0.46,305.44,302.42,57.92,3.2821,3574500,3286710,320.72,270.23,3,"Golden_Cross, RSI_Normal, Near_52W_High",2025-12-09 05:04:33
NFLX,96.79,-3.44,108.01,112.67,31.42,-3.6977,100206800,45100120,134.12,82.11,3,"RSI_Normal, RSI_Bounce, Volume_Surge",2025-12-09 05:04:34
INTC,40.3,-2.68,37.82,37.72,64.58,0.9327,93648500,85529390,44.02,17.67,3,"Golden_Cross, RSI_Normal, From_Low_Rebound",2025-12-09 05:04:34
MU,246.92,4.09,233.41,215.86,52.18,-3.9512,20427700,26083955,260.58,61.44,3,"Golden_Cross, RSI_Normal, From_Low_Rebound",2025-12-09 05:04:36
AMD,221.11,1.44,225.0,225.76,38.47,-16.3115,30751200,48109180,267.08,76.48,3,"RSI_Normal, RSI_Bounce, From_Low_Rebound",2025-12-09 05:04:38
AVGO,401.1,2.78,367.84,356.87,71.51,15.3589,30359500,23214925,407.29,137.54,3,"Golden_Cross, Near_52W_High, From_Low_Rebound",2025-12-09 05:04:38
NVDA,185.55,1.72,184.34,187.23,48.88,-6.3822,201696500,209028650,212.18,86.6,2,"RSI_Normal, From_Low_Rebound",2025-12-09 05:04:28
TSLA,439.58,-3.39,423.57,435.2,64.67,-1.971,68911900,78447215,488.54,214.25,2,"RSI_Normal, From_Low_Rebound",2025-12-09 05:04:29
DIS,107.63,2.21,106.48,109.73,55.23,-2.9772,13700700,13229875,124.69,79.76,2,"RSI_Normal, From_Low_Rebound",2025-12-09 05:04:32
ORCL,220.54,1.36,214.31,253.28,50.49,-16.2974,24614000,24215825,345.12,117.98,2,"RSI_Normal, From_Low_Rebound",2025-12-09 05:04:36
SHOP,158.41,-1.66,153.2,158.46,68.75,0.4024,4733800,8467925,182.19,69.84,2,"RSI_Normal, From_Low_Rebound",2025-12-09 05:04:37
QCOM,175.31,0.29,168.84,168.98,66.03,-2.4443,6688900,8798090,204.9,118.79,2,"RSI_Normal, From_Low_Rebound",2025-12-09 05:04:38
